S.No.,User_query,Bot_reply,Relevant
111,What are the nearest parlours available around BPTP Park Generations?,Showing you the best options available of your choice of service...,Yes
112,Are there any parlours available inside BPTP Park Generations?,Let me find that out for you,Yes
113,Show me user reviews for parlours available inside BPTP Park Generations.,Roofpik provides an efficient system of user reviews and ratings for you to make the best decision. Here are the user reviews of your service of choice.,Yes
114,Best parlours near BPTP Park Generations,Showing you the best options available of your choice of service.,Yes
115,What are the nearest pharmacies available around BPTP terra?,Generating the results,Yes
116,Are there any pharmacies available inside BPTP terra?,Let me look that for you,Yes
117,Pharmacies around BPTP terra,Here's the list,Yes
118,Most conveniently accessible pharmacies for BPTP terra residents.,The best options available of your choice of service are listed below.,Yes
119,What are the top rated restaurants around BPTP Chateue?,Checking it for you,Yes
120,How far is BPTP Chateue from Wendy’s?,Calculating,Yes
121,Best diners around BPTP Chateue,Give me a second. ,Yes
122,Are there any restaurants available inside BPTP Chateue?,Searching it for you,Yes
123,How far is BPTP Park Prime Mansions from the fire station?,Calculating the distance,Yes
124,Fire station near BPTP Park Prime Mansions,Getting the results,Yes
125,Are there any fire stations near BPTP Park Prime Mansions?,Looking that for you,Yes
126,How long will it take from Brisk Lumbini Terrace Homes to reach the nearest Metro Station at peak-time?,Calculating the desired information...,Yes
127,How long will it take from Brisk Lumbini Terrace Homes to reach the nearest Metro Station off peak-time?,Hold on while I look for the required data,Yes
128,How long will it take from Brisk Lumbini Terrace Homes to reach the nearest Railway station at peak time?,Let me calculate that for you,Yes
129,How long will it take from Brisk Lumbini Terrace Homes to reach the nearest Railway station off peak time?,Please wait while I find out about the desired data,Yes
130,How long will it take from Brisk Lumbini Terrace Homes to reach Domestic Airport at peak time?,Hold on as I check for the same.,Yes
131,How long will it take from Brisk Lumbini Terrace Homes to reach Domestic Airport off peak time?,Checking for the same.,Yes
132,How long will it take from Brisk Lumbini Terrace Homes to reach the International Airport at peak time?,Watch the space below for the required information,Yes
133,How long will it take from Brisk Lumbini Terrace Homes to reach the International Airport off peak time?,Hold on as I look that up for you,Yes
134,How long will it take from Capital square to reach the nearest but stand?,Finding the best solution to your query...,Yes
135,What is the total land area covered by CHD Vann?,Wait a minute as I look for the required information,Yes
136,CHD Vann total area,Hold on as I look for the required information,Yes
137,How many towers does CHD tee9 have?,Give me a moment,Yes
138,How many floors does each tower in CHD tee9 have?,Checking the same for you,Yes
139,How many lifts does each tower in CHD tee9 have?,Getting the details,Yes
140,Does CHD 106 Golf Avenue provide visitor car parking?,Looking up that for you.,Yes
141,How many car parkings does CHD 106 Golf Avenue provide?,Checking it for you,Yes
142,Does Chintels Serenity have a RWA?,Your society of choice provides the required service,Yes
143,Put me in touch with the RWA of Chintels Serenity,"Sorry, we don�t provide this feature at this moment",No
144,Are there any good schools available inside Unitech Escape?,"Yes, let me look for the best options available.",Yes
145,Best schools around Unitech Escape,Looking for the required service near your location of choice..,Yes
146,What are the nearest schools around Unitech Escape?,Below is the list for the same.,Yes
147,How far is Unitech Escape from the nearest School?,Calculating ,Yes
148,How long will it take from Unitech Escape to reach the nearest School?,Checking that for you.,Yes
149,What are the most prominent schools available near Unitech Escape?,Looking up that for you.,Yes
150,Prominent schools around Unitech Escape,Below mentioned are the options.,Yes
151,Show me prominent Schools close to Unitech Escape,Gathering the data for you.,Yes
152,Show me user ratings for Schools around Unitech Escape,,
153,I want to look for prominent schools around Unitech Escape,Showing you the best options for the same,Yes
154,Are there any good hospitals available inside Tulip Pelats?,"Yes, let me look for the best options available.",Yes
155,Best hospitals around Tulip Pelats,Generating the results for you,Yes
156,What are the nearest hospitals or clinics around Tulip Pelats?,Looking up that for you.,Yes
157,How far is Tulip Pelats from the nearest hospital?,Let me calculate that for you,Yes
158,How long will it take from Tulip Pelats to reach the nearest hospitals,Calculating the same,Yes
159,What are the most prominent hospitals available near Tulip Pelats?,Give me a second ,Yes
160,Prominent hospitals around Tulip Pelats,Here's the list for the same.,Yes
161,Show me prominent medical care centers close to Tulip Pelats,Ok looking up that for you,Yes
162,Show me user ratings for hospitals around Tulip Pelats,Getting it for you,
163,I want to look for prominent hospitals around Tulip Pelats,Showing you the list,Yes
164,Are there any good sports clubs available inside Unitech Harmony?,Checking it for you,Yes
165,Best recreational centers around Unitech Harmony,Combining the results,Yes
166,What are the nearest sports or recreational centers around Unitech Harmony?,The best options available of your choice of service are listed below.,Yes
167,How far is Unitech Harmony from the nearest sports ground?,Calculating that for you,Yes
168,How long will it take from Unitech Harmony to reach the nearest recreational facility?,Checking the same,Yes
169,What are the most prominent sports and recreational clubs available near Unitech Harmony?,Let me show you a listing of the best options available of your choice of service.,Yes
170,Prominent recreational facility around Unitech Harmony,Collecting the data,Yes
171,Show me prominent sports centers close to Unitech Harmony,Please wait a minute,Yes
172,Show me user ratings for sports clubs around Unitech Harmony,Gathering the ratings for you.,
173,I want to look for prominent sports and recreational means around Unitech Harmony,Below is the mentioned list.,Yes
174,What are the nearest malls available around BPTP Amstoria?,Generating the results,Yes
175,Best malls around BPTP Amstoria,Hold on as I enquire about your choice of service.,Yes
176,How far is BPTP Amstoria from the nearest mall?,Let me calculate the required distance for you.,Yes
177,What is the biggest mall near BPTP Amstoria?,Let me look that up for you,Yes
178,Find out the best place to shop at malls around BPTP Amstoria,Hold on as I look up the required information,Yes
179,I want see the nearest malls near BPTP Amstoria,Below mentioned is the list,Yes
180,Are there any good malls available close to BPTP Amstoria,Let me look up that for you,Yes
181,Can you look for malls available near BPTP Amstoria,Please hold on for a minute as I look it up for you,Yes
182,I can’t find any malls around BPTP Amstoria,Let me help you with that.,Yes
183,How long will it take to reach the nearest mall from BPTP Amstoria,Calculating the time,Yes
184,Prominent pre-schools around BPTP Spacio,Please wait for a minute while I generate the results,Yes
185,Show me prominent Pre Schools close to BPTP Spacio,"Yes, let me look for the best options available.",Yes
186,Show me user ratings for Pre Schools around BPTP Spacio,Wait for a second please,
187,I want to look for prominent pre-schools around BPTP Spacio,Below is the list for the same.,Yes
188,Show me user ratings for Day Care Centers around BPTP Park Serene,Gathering the data for you.,
189,I want to look for Day Care Centers near BPTP Park Serene,Hold on as I look up the required information,Yes
190,Show me prominent Day Care centers around BPTP Park Serene,"Ok, Generating the list",Yes
191,Nearest Day Care Centers around BPTP Park Serene,"Sure, Providing you with the options available",Yes
192,What are the nearest markets available around BPTP Amstoria?,"Yes, hold on while I present a list of the best options available",Yes
193,Markets around BPTP Amstoria,Please give me a second as I collect the data,Yes
194,How far is BPTP Amstoria from the nearest market?,Calculating it for you,Yes
195,What is the biggest market near BPTP Amstoria?,Wait for a second as I search it for you,Yes
196,Find out the best place to shop around BPTP Amstoria,"Ok, Searching it for you",Yes
197,I want see the nearest shopping areas near BPTP Amstoria,Let me look for the best options available near your choice of location.,Yes
198,Are there any good markets available close to BPTP Amstoria,"Please, wait for a minute as I check the same.",Yes
199,Can you look for the markets available near BPTP Amstoria,"Ok, checking it for you.",Yes
200,I can't find any marts around BPTP Amstoria,Let me help you with that.,Yes
201,How long will it take to reach the nearest market from BPTP Amstoria,Calculating the requested information..,Yes
202,Find out the best supermarkets around BPTP Amstoria,Showing you the best options available for you.,Yes
203,I want see the nearest supermarkets near BPTP Amstoria,Let me look for the best options available near you.,Yes
204,Are there any good supermarkets available close to BPTP Amstoria,"Yes, let me show you the best options available for you.",Yes
205,Can you look for the Supermarkets available near BPTP Amstoria,Yes of course. Please wait while I generate the required information.,Yes
206,I can't find any supermarts around BPTP Amstoria,Let me help you with that.,Yes
207,How long will it take to reach the nearest supermarket from BPTP Amstoria,Calculating the desired information...,Yes
208,Show me the best salons available near BPTP Park Generations,Please wait while I generate the required information.,Yes
209,Can you find me the nearest salon from BPTP Park Generations?,"Yes, let me show you the best options available for you.",Yes
210,What are the nearest gyms available around Spaze Privy?,Let me look up the best options available for you.,Yes
211,Are there any gyms or spas available inside Spaze Privy?,"Yes, let me show you a listing of the best options available for you.",Yes
212,Show me user reviews for gyms available inside Spaze Privy.,Hold on as I look for the required information.,
213,Best gyms near Spaze Privy.,Let me search for the required information,Yes
214,Show me the best gyms available near Spaze Privy,Please wait while I generate the required information.,Yes
215,Can you find me the nearest gym and spa from Spaze Privy?,"Yes, let me show you the best options available for you.",Yes
216,Can you help me locate the nearest medical shop near BPTP Terra Residents,"Certainly, let me look up the best options available for you.",Yes
217,How far is the nearest medical shop from BPTP Terra Residents,Let me calculate the required information.,Yes
218,Show me the number of pharmacies provided inside BPTP Terra Residents,Hold on as I enquire about that.,Yes
219,Is Roofpik associated with Zomato?,"No, Roofpik is an independent organization that is here to help you with real estate.",Yes
220,Can you help me find the top rated restaurants around BPTP Chateau?,"Yes, let me show you a listing of the best options available for you.",Yes
221,Does BPTP Chateue provide fine dining options inside the society?,Let me quickly look that up for you,Yes
222,Can you help me locate the nearest fire station to BPTP Park Prime Mansions?,"Certainly, hold on as I find that out for you",Yes
223,Contact details of the nearest fire station from BPTP Park Prime Mansions,Let me furnish that information for you,Yes
224,Metro station from Earth Copia,Looking for the required service near your location.,Yes
225,How quickly can I get to the metro station from Earth Copia at peak time?,Let me calculate that for you,Yes
226,How quickly can I get to the metro station from Earth Copia off peak time?,Calculating the desired information...,Yes
227,Can you help me look for the closest metro station from Earth Copia?,"Yes, let me find out the exact information for you",Yes
228,Find nearest Metro Station from Earth Copia,Hold on as I look up the required information,Yes
229,Locate closest Metro Station from Earth Copia,Let me locate that for you.,Yes
230,I want to take the metro closest to Earth Copia,Hold on while I look for the required data,Yes
231,Nearest metro service from Earth Copia,Let me show you the best option available,Yes
232,Shortest route to the nearest metro line from Earth Copia at peak time,Finding the best solution to your query...,Yes
233,Railway station from DLF Primus,Locating the best options available for you.,Yes
234,How quickly can I get to NDLS railway station from DLF Primus at peak time?,Let me calculate that for you,Yes
235,How quickly can I get to the NZM railway station from DLF Primus off peak time?,Calculating the desired information...,Yes
236,Can you help me look for the closest railway station from DLF Primus?,"Yes, let me find out the exact information for you",Yes
237,Find nearest Railway Station from DLF Primus,Hold on as I look up the required information,Yes
238,Locate closest Railway Station from DLF Primus,Let me locate that for you.,Yes
239,I want to go to the Railway Station closest to DLF Primus,Hold on while I look for the required data,Yes
240,Nearest railway station from DLF Primus,Let me show you the best option available,Yes
241,Shortest route to the nearest railway station from DLF Primus at peak time,Finding the best solution to your query...,Yes
242,Domestic Airport from Ireo Skyon,Looking for the required data..,Yes
243,How quickly can I get to Domestic Airport from Ireo Skyon at peak time?,Let me calculate that for you,Yes
244,How quickly can I get to the Domestic Airport from Ireo Skyon off peak time?,Calculating the desired information...,Yes
245,Can you help me look for the Domestic Airport from Ireo Skyon?,"Yes, let me find out the exact information for you",Yes
246,Find Domestic Airport from Ireo Skyon,Hold on as I look up the required information,Yes
247,Locate Domestic Airport from Ireo Skyon,Let me locate that for you.,Yes
248,I want to go to the Domestic Airport closest to Ireo Skyon,Let me help you with that.,Yes
249,Shortest route to the DomesticAirport from Ireo Skyon at peak time,Finding the best solution to your query...,Yes
250,International Airport from Ireo Skyon,Looking for the required data near your location of choice.,Yes
251,How quickly can I get to International Airport from Ireo Skyon at peak time?,Let me calculate that for you,Yes
252,How quickly can I get to the International Airport from Ireo Skyon off peak time?,Calculating the desired information...,Yes
253,Can you help me look for the International Airport from Ireo Skyon?,"Yes, let me find out the exact information for you",Yes
254,Find International Airport from Ireo Skyon,Hold on as I look up the required information,Yes
255,Locate International Airport from Ireo Skyon,Let me locate the service required by you.,Yes
256,I want to go to the Int. Airport closest to Ireo Skyon,Let me help you with that.,Yes
257,Shortest route to the Int. Airport from Ireo Skyon at peak time,Finding the best solution to your query...,Yes
258,Bus station from Paras Dews,Looking for the required service for you.,Yes
259,How quickly can I get to the Bus station from Paras Dews at peak time?,Let me calculate that for you,Yes
260,How quickly can I get to the Bus station from Paras Dews off peak time?,Calculating the desired information...,Yes
261,Can you help me look for the closest Bus station from Paras Dews?,"Yes, let me find out the exact information for you",Yes
262,Find nearest Bus Station from Paras Dews,Hold on as I look up the required information,Yes
263,Locate closest Bus Station from Paras Dews,Let me locate the service required by you.,Yes
264,I want to take the Bus closest to Paras Dews,Let me help you with that.,Yes
265,Nearest Bus service from Paras Dews,Let me show you the best option available,Yes
266,Shortest route to the nearest Bus line from Paras Dews at peak time,Finding the best solution to your query...,Yes
267,I am looking for a 2BHK with more than 700sqft area,Excellent choice. Let me look up some options for you,Yes
268,What is the sqft area of a 3BHK in Premia towers,Looking for information desired by you.,Yes
269,How much should the carpet area be for a 2BHK?,Please wait while I generate the required information,Yes
270,Can you tell me the carpet area of 3BHKs in New Gurgaon?,"Yes, let me show you the best options available for you.",Yes
271,Looking for a spacious apartment with more than 1000sqft area on Sohna Road,Let me help you with that. What are your other requirements?,Yes
272,Show me 3BHKs available on Sohna Road,"Yes, let me show you the best options available at your choice of location.",Yes
273,How far is Gulmohar Avenue from the main road?,Let me calculate that for you,Yes
274,What is the nearest main road from Gulmohar Avenue?,Let me find out the information that you require.,Yes
275,Is Gulmohar Avenue on the main road?,Let me find that out for you,Yes
276,Show me the google maps location of Gulmohar Avenue,Let me look that up for you.,Yes
277,I do not want to see societies present on the main road,Okay. Let me look up options suitable to your liking.,Yes
278,Are there any Auto Stands near Lotus Elise?,"Yes, let me look that up for you",Yes
279,Can you find me an auto stand near Lotus Elise?,"Certainly, give me a moment as I look for options most suitable for you.",Yes
280,What is the chance of getting auto services near Lotus Elise?,Finding the best solution to your query...,Yes
281,What is the availability of autos like near Lotus Elise?,Let me locate the services required by you,Yes
282,I want to take an auto daily from near Lotus Elise.,"Okay, hold on as I look for the desired information.",Yes
283,Can you help me locate auto stands near Lotus Elise?,"Definitely, let me locate the best options available.",Yes
284,Are there any Cab Stands near Landmark residency?,"Yes, let me look that up for you",Yes
285,Can you find me an cab stand near Landmark residency?,"Certainly, give me a moment as I look for the requested data.",Yes
286,What is the chance of getting cab services near Landmark residency?,Finding the best solution to your query,Yes
287,What is the availability of cab like near Landmark residency?,Let me locate the services required by you,Yes
288,I want to take an cab daily from near Landmark residency,"Okay, hold on as I look for the required data.",Yes
289,Can you help me locate cab stands near Landmark residency?,"Definitely, let me locate the service available for you.",Yes
290,Police Station close to Central Park I,Let me locate the service required by you,Yes
291,Are there any police hold posts near Central Park I?,Looking for the required service available for you.,Yes
292,Can you help me locate the police station closest to Central Park I?,"Certainly, give me a moment as I look for the desired data.",Yes
293,Find police station near Central Park I,"Okay, hold on as I look for the data requested by you.",Yes
294,What are the nearest banks around Bestech park View City 1?,Let me look up the best options available for you.,Yes
295,Is there a State Bank near Bestech park View City 1?,Let me look up the information required by you,Yes
296,Can you help me look for bank services available near Bestech park View City 1?,"Certainly, give me a moment as I look for the desired information.",Yes
297,Bank Services close to Bestech park View City 1,Let me show you the best options available for you.,Yes
298,Locate Banks near Bestech park View City 1,Locating the best options available.,Yes
299,How far is the nearest Bank from Central Park I?,Let me calculate that for you.,Yes
300,What are the nearest Petrol Stations around Mapsco Paradise?,Let me look up the best options available for you.,Yes
301,Is there a Petrol Pump near Mapsco Paradise?,Let me look up the information required by you,Yes
302,Can you help me look for Petrol Stations available near Mapsco Paradise?,"Certainly, give me a moment as I look for the requested data.",Yes
303,Petrol Pumps close to Mapsco Paradise,Let me show you the best options available for you.,Yes
304,Locate Petrol Pumps near Mapsco Paradise,Locating the best options available for you.,Yes
305,How far is the nearest Petrol Station from Mapsco Paradise?,Let me calculate that for you,Yes
306,Show me 3BHKs available on Dwarka Expressway,Let me show you a listing of the best options available for you.,Yes
307,How far is Manor One from the Expressway?,Calculating the desired information...,Yes
308,What is the nearest expresway road from Manor One?,Let me find out the information that you require.,Yes
309,Is Manor One on the Expressway?,Let me find that out for you,Yes
310,Are you a real robot?,Yes! I am here to help you with your choices in Real Estate. What are you looking for?,Yes
311,I want to rent an apartment at DLF Camellias,"Great, can you tell me about your other requirements?",Yes
312,Can you show me 3BHK flats at DLF Camellias?,"Yes, what are your other requirements?",Yes
313,Show me fully furnished apartments at DLF Camellias,Sure. Let me look up the best options suitable for you.,Yes
314,Give me information on DLF Camellias,Looking up the desired information.,Yes
315,Show me good under construction projects to invest in.,"Alright, What are your other requirements?",Yes
316,Looking for hot properties in Gurgaon to invest in.,Excellent! Let me help you with that.,Yes
317,Show me projects by Alpha Corp,Sure. Let me look up the best options.,Yes
318,I want to invest in Alpha Corp projects,Great choice. Let me look up the best options for you,Yes
319,Give me information on Alpha Corp Group,"Sure, let me look up the information required",Yes
320,Can you show me under construction projects by Alpha Corp?,Most certainly. What are your other requirements?,Yes
321,Who is the developer of Heritage One?,Let me find that out for you.,Yes
322,Is it advisable to invest in property in GGN?,"Yes, Let me help you look for the best options available for you.",Yes
323,I want to look for apartments in and around Sector 48,Great. Let me help you with that. ,Yes
324,Are there any under construction projects in sector 34?,Let me generate a listing of the best options available,Yes
325,Show me fully furnished 3BHK apartments in Sector 50.,Okay. What are your other requirements?,Yes
326,Housing options in Sector 48,let me help you look for the best options available.,Yes
327,I want to look for apartments in New Gurgaon,Great choice! What else do you require?,Yes
328,Show me under construction Projects on Sohna Road,Sure. Let me show you the best options available,Yes
329,Looking for 2BHK on M.G. Road,Let me help you look for the top alternatives available.,Yes
330,Can you help me buy property on Dwarka Expressway?,Sure. What are your other requirements?,Yes
331,Housing options on Golf Course Extension Road,Let me generate a listing of the best options available,Yes
332,Is New Gurgaon a good location to invest in Real Estate?,"yes, Let me help you look through options to make the best decision.",Yes 
333,What are the most popular residential locations in Gurgaon?,Let me look that up for you,Yes
334,Top Rated residential locations in Gurgaon,Searching for the best options for you to choose from,Yes
335,Show me top rated residential locations on M.G. Road,Showing you the best options for you to make a pick,Yes
336,Top Rated commercial spaces in Gurgaon,"Sorry, we do not provide the facility yet. Watch this space in future to avail that facility.",No
337,What are the total acres of land covered by Clarion the Legend?,Hold on as I look for the required information.,Yes
338,Give me details of the total land area coverage by Clarion the Legend,"Okay, let me find that out for you.",Yes
339,Clarion the Legend covers how much land area?,Let me look up the requested information.,Yes
340,Show me the biggest societies in terms of Land Area coverage in GGN.,"Sure, let me show you the best options available",Yes
341,How many units does DLF Bevery Park have?,Let me find that out.,Yes
342,Give me details of the number of floors in each tower at Garden Estate.,"Sure, let me quickly look that up.",Yes
343,No. of floors in Garden Estate towers,Let me quickly look that up,Yes
344,Are there more than 20 floors in Garden Estate towers?,Let me look up the requested information for you.,Yes
